# 日経連続増配株指数の採用銘柄（70銘柄）の証券コードをここに追加してください。
# 最新の採用銘柄一覧はダイヤモンドZAiオンラインα等で毎月公開されています。
# 1行に1コード。#で始まる行はコメントとして無視されます。
# 以下は代表的な連続増配銘柄の初期リスト（要更新）:
code
4452
9433
8593
8566
7466
9058
4732
8424
9436
2391
1928
4967
7504
9787
8098
