# 日経225のフォールバック用リスト（Wikipediaからの自動取得が失敗した時のみ使用）
# 主要銘柄のみの縮小版です。フル225銘柄にしたい場合はコードを追記してください。
code
7203
6758
8306
9983
9984
6861
8035
4063
6501
6098
9432
9433
9434
4502
4568
6367
6902
7267
7974
9101
9104
9107
8058
8001
8031
8053
2914
8766
8750
8591
8604
8316
8411
3382
6981
6503
6702
6752
7751
7741
4901
4543
4519
4503
5108
5401
9022
9020
9021
1925
1928
1801
2802
2503
2501
4452
6273
6954
6301
7011
7012
7013
8802
8801
3402
5020
9503
9531
6178
4661
